sub_category,title,text,table_markdown,images
공통,"소모품, 부품 구매는 어떻게 하나요?","▶부품을 구매하려 하나요? • 필터, 호스, 소모품 등 구매가 가능하며 판매 품목은 제품마다 상이합니다. • [부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. • 서비스센터 홈페이지에서 구매하시려는 경우 제품의 모델명 또는 카테고리 선택 후 부품 명칭을 검색하시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 고객상담센터에서 구매하시려는 경우 제품의 모델명 또는 부품 명칭을 말씀해주시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 일부 부품은 안전상의 이유로 판매가 불가할 수 있으며, 전문가의 점검 및 서비스가 필요할 수 있습니다.",,없음
공통,"품질보증기간, 부품보유기간이 궁금해요","▶제품의 사용설명서, 간단설명서 뒷 부분에서 제품 보증서에서 품질보증기간, 부품보증기간을 확인해 주세요. • 상업용 제품아닌 일반 제품을 상업용으로 사용하는 경우 품질보증기간이 단축됩니다. • 품질보증기간내라도 안전점검을 요청하는경우 전문가의 점검 비용이 발생됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/079ca8eb2a424a4e9372d6c16f56336b.png
전자레인지,전자레인지 기능 작동시 데우기가 안돼요,"음식의 냉동된 정도나 중량, 두께 등에 따라 데우는 시간에 큰 차이가 발생할 수 있습니다. ▣다음 내용을 확인해 주세요▣ ▶제품의 이상이 맞는지 확인해 주세요. ①레인지용 컵에 물을 반이상 담아 바닥의 가운데 놓고 1분 30초~2분 정도 레인지 기능을 작동시켜 주세요. (즉석밥으로도 확인이 가능합니다.) ②작동이 멈춘 뒤 컵에 담긴 물이 데워졌다면 제품은 정상입니다. 물이 데워지지 않았거나 열기가 없다면 전원코드선을 분리한 뒤 30초 후 재연결하여 확인해 주세요. ③확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. ▶열기는 있으나 음식이 잘 데워지지 않는 경우 확인해 주세요. •출력 조절이 가능한 모델은 [보온] 또는 [해동]이 아닌 출력을 [P100] 또는 [강]으로 선택하여 작동해 주세요. •제품에 장착된 유리접시보다 큰 용기를 사용하면 유리접시 회전이 원할하지않아 골고루 데워지지 않습니다. •음식의 냉동 정도나 무게 또는 두께에 따라 데움에 긴 시간이 소요될 수 있습니다. •작동중 도어를 자주 열어 음식물을 확인하는 경우 내부 열기가 밖으로 배출되어 조리 완성에 긴 시간이 소요될 수 있습니다. •속이 깊은 용기를 사용하는 경우 열기 순환에 영향이 있을 수 있으므로 평평하고, 음식물 양에 맞는 넓은 용기를 이용해 주세요. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/fdf7ba6db3054d02b45cc2f4104036c4.png
전자레인지,작동 중 조리실 내부에서 스파크가 발생해요,"적합한 용기를 사용하지 않았거나, 조리실 내부에 이물질이 묻어있을 경우 스파크가 발생할 수 있습니다. ▣다음 내용을 체크해 주세요▣ ▶전자레인지에 사용 가능한 용기인지 확인해 주세요. •전자레인지 기능 작동시 오븐용기 및 스팀용기, 알루미늄호일, 금속제 용기, 금선/은선 무늬가 있는 용기등 적합하지 않은 용기 사용시 스파크가 발생할 수 있습니다. -오븐용기와 스팀용기는 자동요리(오븐) 작동시에만 사용이 가능하며, 전자레인지 기능 단독 작동시에는 사용이 불가합니다. 용기 손잡이가 녹아, 변형이 생기면서 타는 냄새 및 스파크 발생의 원인이 됩니다. ▶구이석쇠 사용시 실리콘패킹(고무발) 장착 상태를 확인해 주세요. •부속품인 구이석쇠 사용시 실리콘패킹(고무발)이 제대로 조립되어있지 않거나, 빠진채로 작동시 스파크가 발생할 수 있습니다. •실리콘패킹(고무발)이 손상된 상태로 사용시 손상된 부위에서 스파크가 발생할 수 있습니다. •실리콘패킹(고무발)은 별도로 구매가 가능하며, 자가적으로 조립하실 수 있습니다. ▶조리실 내부를 청소 후 확인해 주세요. •음식물찌꺼기가 내부에 남아있거나, 도파관덮개(마이카플레이트)가 훼손되었을 경우 작동시 스파크가 발생할 수 있습니다. 내부 청소를 해주시고, 도파관덮개(마이카플레이트)가 파손되었다면 교체가 필요합니다. →도파관덮개(마이카플레이트)를 내부 홈에 조립하는 형태는 자가적으로 교체가 가능하여 부속품만 별도로 구매가 가능하지만, 나사로 조립되어있는 형태는 자가적으로 교체가 불가하여 서비스접수가 필요합니다. <도파관 덮개 이미지> ※도파관 덮개(마이카 플레이트)는 고객상담센터(☎1600-1661) 또는 서비스 홈페이지를 통해 구매하실 수 있습니다.",,https://static.service.skmagic.com/editor/faq/ckimg/80881867515643f78bb1d91d072e1dcb.png|https://static.service.skmagic.com/editor/faq/ckimg/a2e83d0959b8468f9090d4a3b1cbbce7.png|https://static.service.skmagic.com/editor/faq/ckimg/a8872ba76971455987ba5486a4f41c9c.png
전자레인지,버튼 작동이 안돼요,"▣다음 내용을 체크해 주세요▣ 잠금 기능이 설정되어있다면 버튼을 눌러도 작동이 되지 않습니다. ▶ 잠금 설정을 확인해주세요. • 취소/정지 버튼을 3초 이상 누르면 잠금 기능을 ON/OFF 할 수 있습니다. ▶ 도어가 제대로 닫혀있는지 확인해주세요. • 도어가 제대로 닫혀있지 않으면 버튼 동작이 되지 않습니다. 도어의 닫힘 상태를 확인해주세요. ※확인 후 동일증상일 경우, 특정 일부버튼만 작동이 안되는 경우는 서비스점검이 필요합니다. ▣추가 문의가 있으신가요?▣ ☞ 서비스 홈페이지 접속 → 상담예약 → [온라인상담/상담예약] 메뉴를 이용해 보세요. 서비스 접수 요청시 고객상담센터(☎1600-1661) 또는 서비스 홈페이지 → [방문예약] 메뉴를 통해 신청해 주세요.",,없음
전자레인지,작동시 여러가지 소리가 나요,"전자레인지가 작동하며 여러가지 작동 소리가 발생합니다. ▣다음 내용을 확인해 주세요▣ ▶전자레인지 동작시 나타나는 소리를 확인해 주세요. •웅-, 지- 소리는 작동시 고주파 출력으로 인해 발생하며 출력 세기에 따라 소음의 크기가 달라질 수 있습니다. •윙-, 웅- 소리는 작동 종료 후 내부 부품을 식혀주기 위해 팬이 작동하면서 소음이 발생하며 내부 온도에 따라 작동 시간은 달라질 수 있습니다. •덜그럭, 드르륵, 끼이익 소리는 회전링과 유리접시에 이물이 묻거나 조립이 잘못되어 발생할 수 있습니다. 이물질 제거 후 다시 조립하여 작동해 주세요. •탁, 딱, 텅 소리는 작동시 내부의 금속물이 열기로 인해 수축, 팽창하는 소리 또는 전기 부품 동작 소리가 발생할 수 있습니다 ▶전자레인지 동작시 나타나는 정상 소리가 아닌 다른 소리가 지속적으로 발생하나요? •작동 상태와 상관없이 울리는 부저음, 굉음 등이 지속하여 발생하는 경우 서비스점검이 필요합니다. •제품의 전원콘센트를 분리한 후 30초 후 연결하여 확인하여도 동일한 경우 서비스점검이 필요합니다. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
전자레인지,작동 중 갑자기 동작이 멈췄어요,"▣다음 내용을 체크해 주세요▣ ▶작동 중 도어가 닫혀있고, 전원은 정상적으로 공급되고 있으나, 제품의 동작이 갑자기 멈추는 증상은 서비스점검이 필요합니다. • 도어가 정상적으로 닫혀있는지 확인 해주세요. ▶작동 중 전원이 꺼진거라면 전원콘센트 및 멀티콘센트를 확인해주세요. • 벽면콘센트에 전자레인지제품만 단독으로 연결하여 사용중이였다면, 다른 콘센트로 위치를 변경하여 확인해주세요 • 멀티콘센트 사용시 정격용량 250V, 15A 확인 후, 멀티콘센트의 문제일 수 있으니 교체하여 작동해주세요. ▣추가 문의가 있으신가요?▣ ☞ 서비스 홈페이지 접속 → 상담예약 → [온라인상담/상담예약] 메뉴를 이용해 보세요. 서비스 접수 요청시 고객상담센터(☎1600-1661) 또는 서비스 홈페이지 → [방문예약] 메뉴를 통해 신청해 주세요.",,없음
전자레인지,사용설명서가 없어요 어떻게 확인해야하나요,"제품 구매시 공용으로 제공되는 간단설명서가 포함되어있습니다. 그외, 제품 모델별 상세사용설명서는 제품에 부착된 QR코드 접속 및 서비스 홈페이지를 통해 확인이 가능합니다. ▣다음 내용을 체크해 주세요▣ ▶서비스센터 홈페이지에서 사용설명서를 확인해 주세요. •SK매직서비스센터 접속 → 쉬운해결 → 제품 사용설명서 → 제품을 선택하여 확인해 주세요. •SK매직서비스센터 접속 → 쉬운해결 → 제품 사용설명서 → 모델명만 검색해 주세요. (예시 - GRAB320, GRAB420, GRAC290 …) <온라인서비스센터 제품사용설명서 화면> ▶제품의 QR코드를 확인해 주세요. •모델코드가 기재되어있는 QR코드가 부착되어있어야만 QR코드 이용이 가능합니다. (제품 생산년도에 따라 차이가 있습니다.) •QR코드로 접속하여 제품 사용설명서, IOT 사용설명서, 요리가이드를 확인해보실 수 있습니다. •모델에 따라 내용에 차이가 있을 수 있습니다. ▶QR코드로 접속하여 확인해 주세요. ①스마트폰에서 카메라를 켜고 QR코드를 비추면 상단에 알림이 표시됩니다. ②해당 알림을 클릭하여 접속해 주세요. ③사용설명서 카테고리를 선택 후 확인해주세요. <QR코드 이미지> <QR코드 접속 화면>",,https://static.service.skmagic.com/editor/faq/ckimg/66064447561549958208a613ca1bcd21.png|https://static.service.skmagic.com/editor/faq/ckimg/2c9afbf5c8ea4ff98110899691206fc9.png|https://static.service.skmagic.com/editor/faq/ckimg/94ac0d5ba1d040ae997348f06050f340.png
전자레인지,도파관덮개(마이카플레이트)가 파손/훼손 됐어요,도파관덮개가 반드시 장착되어있는 상태에서 사용해야합니다. 도파관덮개에 손상이 있는 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶도파관덮개란? •제품 내부 고주파 출력을 발생시키는 부품에 이물질이 유입되지 않게 막아주는 덮개입니다. •반드시 장착하여 사용해 주세요. •마이카플레이트로 명칭되기도 합니다. ▶도파관덮개(마이카플레이트)가 손상되었나요? •도파관덮개가 심하게 오염되었거나 그을리거나 찢겨있는 등 손상이 발생한 경우 교체하여 사용해 주세요. ▶도파관덮개(마이카플레이트)를 교체하려하나요? •도파관덮개가 나사로 고정되어있는 모델의 경우 자가교체가 불가하여 전문가의 서비스가 필요합니다. •도파관덮개를 단순히 홈에 끼워 고정하는 모델의 경우 기존 부품을 빼고 새로운 부품을 홈에 끼우는 방식으로 자가에서 쉽게 교체하실 수 있습니다. •도파관덮개를 너무 구부리거나 강한 힘을 가하게되면 파손될 수 있으니 주의해 주세요. ☞서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. 도파관덮개(마이카플레이트) 구매는 [서비스센터 홈페이지-부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.,,https://static.service.skmagic.com/editor/faq/ckimg/ceb0ace6b1a64230970a23b7be64e286.png
전자레인지,가열이 약해요 조리시간이 오래 걸려요,"조리물의 상태, 중량, 조리용기에 따라 가열 시간 및 가열 정도는 차이가 있을 수 있습니다. ▣다음 내용을 체크해 주세요▣ ▶조리물의 가열 상태를 확인해주세요. •조리물의 냉장/냉동/해동 상태 및 중량, 크기에 따라 가열되는 조리시간의 차이가 있습니다. 전자레인지 사용 가능한 용기에 물을 넣고 1분~2분정도 작동하여 물이 데워지는지 확인해주세요. 물이 뜨겁게 데워진다면 정상적으로 가열이 되고 있는 상태로 다른 조리물들의 작동시간을 연장하여 재작동해주세요. ▶설정한 출력을 확인합니다. •[보온] 또는 [해동] 기능처럼 출력이 낮아질수록 가열이 약해집니다. 출력은 [P100] 또는 [강]으로 선택하여 작동해 주세요. ▶전자레인지에 적합한 용기인지 확인해주세요. •도자기나 내열유리처럼 고주파를 통과시킬 수 있는 사용 가능한 용기로 작동했는지 확인해주세요. 금속용기, 통조림 캔, 알루미늄 호일에 포장된 조리물등 적합하지 않은 용기 사용시 고주파를 반사하여 조리물을 전혀 가열시키지 못하며, 금속과의 접촉시엔 스파크가 발생되어 위험하오니 작동 전 꼭 용기를 확인해주세요. •속이 깊은 사기그릇은 열의 순환을 막아 가열이 약할 수 있으니 넓은 접시 또는 평평한 그릇을 사용해주세요. ▶조리물의 종류를 확인해주세요. •전자레인지는 물분자의 진동 마찰열로 가열되는 원리로, 조리물의 수분함량에 따라 더 뜨겁고, 덜 뜨겁고 가열 부위가 차이가 있을 수 있습니다. •장기간 냉동 보관된 식품은 해동 및 가열시 시간이 오래 소요되며, 내부까지 골고루 열이 전달이 안될 수 있으니 20분 이상 실온 해동 후 사용해주세요. ▣추가 문의가 있으신가요?▣ ☞ 서비스 홈페이지 접속 → 상담예약 → [온라인상담/상담예약] 메뉴를 이용해 보세요. 서비스 접수 요청시 고객상담센터(☎1600-1661) 또는 서비스 홈페이지 → [방문예약] 메뉴를 통해 신청해 주세요.",,없음
