sub_category,title,text,table_markdown,images
전동식 빨래건조대,"건조봉 상,하 작동이 안돼요","건조봉 상,하 작동이 정상적으로 되지 않을 경우 아래 내용을 확인해 주세요. ▣다음 내용을 체크해 주세요▣ ▶건조봉 상,하 작동이 되지 않는 경우 리셋 스위치를 확인해 주세요. ※ 적용모델 - 2018년 10월 이후 생산된 MED304, MED314 •본체 끝쪽에 얇은 회색 막대 형태의 리셋스위치를 긴 막대 등 도구를 이용하여 위쪽으로 밀어 스위치를 올리는 작업을 2-3회 반복 후 사용해 주세요. <리셋스위치 이미지> ▶리셋 스위치가 없는 모델은 설치된 장소의 누전 차단기를 확인해 주세요. ※ 적용모델 - 2018년 10월 이전 생산된 MED304, MED314 및 그 밖의 모델 •설치된 장소의 차단기 스위치를 내린 뒤 30초 후 올려 램프, 송풍, 상하 작동이 모두 정상적으로 작동되는지 확인해 주세요. <차단기 이미지> ▶건조봉 상,하 작동 외 다른 기능도 작동 되지 않는 경우 확인해 주세요. •설치된 장소의 차단기 스위치를 내린 뒤 30초 후 올려 램프, 송풍, 상하 작동이 모두 정상적으로 작동되는지 확인해 주세요. •본체에 전원이 들어와 있으나 작동 되지 않는다면 리모컨의 건전지를 교체 후 확인해 주세요. ☞확인 후에도 동일 증상일 경우 서비스 접수가 필요합니다. 바로가기 : [전동식 빨래건조대]전동 빨래건조대가 작동이 안돼요/리모컨 작동이 안돼요",,https://static.service.skmagic.com/editor/faq/ckimg/4cec106b66084681b2413a960b92a33b.png|https://static.service.skmagic.com/editor/faq/ckimg/9b4613cadb5b4345bcdd56d33889d091.png
공통,"소모품, 부품 구매는 어떻게 하나요?","▶부품을 구매하려 하나요? • 필터, 호스, 소모품 등 구매가 가능하며 판매 품목은 제품마다 상이합니다. • [부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. • 서비스센터 홈페이지에서 구매하시려는 경우 제품의 모델명 또는 카테고리 선택 후 부품 명칭을 검색하시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 고객상담센터에서 구매하시려는 경우 제품의 모델명 또는 부품 명칭을 말씀해주시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 일부 부품은 안전상의 이유로 판매가 불가할 수 있으며, 전문가의 점검 및 서비스가 필요할 수 있습니다.",,없음
공통,"품질보증기간, 부품보유기간이 궁금해요","▶제품의 사용설명서, 간단설명서 뒷 부분에서 제품 보증서에서 품질보증기간, 부품보증기간을 확인해 주세요. • 상업용 제품아닌 일반 제품을 상업용으로 사용하는 경우 품질보증기간이 단축됩니다. • 품질보증기간내라도 안전점검을 요청하는경우 전문가의 점검 비용이 발생됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/079ca8eb2a424a4e9372d6c16f56336b.png
전동식 빨래건조대,전동식 빨래건조대가 작동이 안돼요/리모컨 작동이 안돼요,"전동식 빨래건조대가 작동하지 않는 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶제품에 전원은 들어와있는지 확인해 주세요. •제품 설치된 장소의 누전차단기가 내려가 있는지 확인 후 내려가 있다면 원상복구를 해주세요. •제품이 베란다에 설치되어있는 경우 베란다전등스위치가 빨래건조대로 연결되어 있을 수 있으므로 빨래건조대 전원스위치가 있다면 스위치 상태를 확인해 주세요. <전등 스위치 예시> ▶리모컨의 건전지는 교체하였나요? •리모컨 버튼을 누를때 리모컨 램프에 불이 들어오는지 확인 후 불이 들어오지 않는다면 새건전지를 구매하셔서 교체해 주세요. •리모컨 램프에 불이 들어오더라도 버튼을 여러번 눌러야 작동이 되거나, 간헐적 작동이 잘 안되는 경우에도 새건전지를 교체하여 사용해 주세요. ▶특정기능만 작동이 안되나요? •조명이 들어오지 않는 경우 LED램프는 교체 작업을 위해 서비스 접수를 진행하셔야 하며, 삼파장 램프의 경우 램프만 구매하여 자가적으로 교환이 가능합니다. 삼파장 램프는 고객상담센터(☎1600-1661)를 통해 구매하실 수 있습니다. •송풍팬은 5cm이내 바람이 느껴진다면 정상이며 바람이 전혀 느껴지지 않을 경우 서비스 신청이 필요합니다. •2018년 10월 이후 생산된 MED304, MED314 모델의 건조봉 상, 하 작동이 되지 않는 경우 본체 끝쪽에 얇은 회색 막대 형태의 리셋스위치를 긴 막대 등 도구를 이용하여 위쪽으로 밀어 스위치를 올리는 작업을 2-3회 반복 후 사용해 주세요. •2018년 10월 이후 생산된 MED304, MED314 외 모델의 건조봉 상, 하 작동이 되지 않는 경우 설치된 장소의 차단기 스위치를 내린 뒤 30초 후 올려 상하 작동이 모두 정상적으로 작동되는지 확인해 주세요. <리셋스위치 이미지> ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/c7c4dcd8b4e34722ba6ef3c5d8f9af56.png|https://static.service.skmagic.com/editor/faq/ckimg/c13c7e320fc543d58ceb44cfd01554aa.png
전동식 빨래건조대,전원이 안들어와요,"전동빨래건조대에 전원이 들어오지 않으면 모든 기능이 작동되지 않습니다. ▣다음 내용을 체크해 주세요▣ ▶차단기가 내려가 있는지 확인합니다. •제품이 설치된 장소의 누전차단기가 내려가 있는지 확인해 주세요. 차단기가 내려가 있다면 다시 원상복구하여 확인해 주세요. ▶베란다 전등스위치를 확인합니다. •전동빨래건조대가 재택 내 베란다에 설치되어있는 경우 대부분 베란다에 있던 전등을 제거하고 그 위치에 제품을 설치하게 됩니다. 이때, 베란다의 전등 ON/OFF 스위치가 따로 있었다면 전동빨래건조대의 전원도 전등스위치로 설정을 해주셔야 합니다. ※베란다 또는 거실에 [베란다 전등스위치]가 있는지 꼭 확인해 주세요. ▶리모컨 건전지를 교체해 주세요. •리모컨의 건전지 방전으로 제품 작동이 되지 않을 수 있습니다. 리모컨 버튼을 눌렀을때 램프에 불이 들어오지 않는다면 새건전전지로 교체하여 사용해 주세요. ▣추가 문의가 있으신가요?▣ ☞ 서비스 홈페이지 접속 → 상담예약 → [온라인상담/상담예약] 메뉴를 이용해 보세요. 서비스 접수 요청시 고객상담센터(☎1600-1661) 또는 서비스 홈페이지 → [방문예약] 메뉴를 통해 신청해 주세요.",,없음
전동식 빨래건조대,본체 및 와이어가 파손됐어요,"▣다음 내용을 확인해 주세요▣ ▶제품 외관 및 X자 링크, 와이어 등은 자가적으로 분리와 조립이 불가하므로 서비스 점검이 필요합니다. ☞서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/d39daa3a29da44ed81a71102c116016d.png
전동식 빨래건조대,부속품을 교체하고 싶어요,"▣다음 내용을 확인해 주세요▣ ▶제품 모델명과 구매하실 부속품을 확인해 주세요. •이불고리는 한쌍(2개)만 제품의 구성품으로 포함되어 있어, 추가로 필요하신 경우 별도로 구매하셔야 합니다. ☞부품 구매는 [서비스센터 홈페이지-부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
전동식 빨래건조대,램프에 불이 안들어와요,"▣다음 내용을 확인해 주세요▣ ▶램프 기능이 장착 되어 있는 모델인지 확인해 주세요. • MED314ANL, MED314N 모델은 램프가 장착되어 있지 않습니다. ▶램프는 점등 후 30분이 지나면 자동으로 OFF됩니다. •30분이 경과하여 자동으로 OFF된 경우, 다시 램프를 점등하여 확인해 주세요. ▶다른 기능은 정상적으로 작동되고, 램프 에만 불이 들어오지 않는다면 램프 교체가 필요합니다. •할로겐 램프의 경우 램프 구매 시 자가적으로 교체가 가능하며, LED램프일 경우 서비스 접수가 필요합니다. ☞부품 구매 또는 서비스접수는 [서비스센터 홈페이지-부품구매] [서비스센터 홈페이지-방문예약] 및 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
전동식 빨래건조대,이사를 하는데 이전설치는 어떻게 해야하나요,"▣다음 내용을 체크해 주세요▣ ▶전동 빨래건조대 분리 및 설치 요청시 고객상담센터(☎1600-1661)로 연락 후 접수부탁드립니다. •전동식 빨래건조대는 특수설치가 필요하여 서비스 홈페이지를 통한 분리/재설치 접수는 불가합니다. ▶서비스 요청시 분리 비용과 재설치 비용은 각각 발생됩니다. • [서비스센터 홈페이지-이용 요금안내] 에서 비용 확인이 가능합니다. ▶제품 이동서비스는 불가하므로, 제품과 부속품을 빠짐없이 챙기신 후 재설치하는 장소까지 옮겨주셔야합니다. ☞상담 진행은 [서비스센터 홈페이지-상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
전동식 빨래건조대,제품에서 이상 소음이 발생해요,▶제품 동작시 일반 작동소음이 아닌 굉음 및 작동과 상관없이 울리는 부저음 등 이상소음 발생시 서비스점검이 필요합니다. ▣추가 문의가 있으신가요?▣ ☞ 서비스 홈페이지 접속 → 상담예약 → [온라인상담/상담예약] 메뉴를 이용해 보세요. 서비스 접수 요청시 고객상담센터(☎1600-1661) 또는 서비스 홈페이지 → [방문예약] 메뉴를 통해 신청해 주세요.,,없음
