sub_category,title,text,table_markdown,images
제휴카드,제휴카드 발급 후에 SK매직으로 할인등록이라는 걸 해야한다던데요. 어떻게 하는 건가요?,▶SK매직 제휴카드를 발급받았어요. SK매직 카드 할인등록 방법을 알려주세요. • SK매직 제휴카드를 발급받으셨다면 [서비스센터 홈페이지] 또는 [ 고객상담센터(☎1600-1661)]를 통해 자동이체 등록해주세요. ☞ [서비스센터 홈페이지-결제정보변경] 바로가기 • SK매직 제휴카드로 SK매직 구독료 '자동이체 등록'을 하셔야 카드사의 청구할인 적용 가능합니다. • 카드사는 자동이체로 결제 된 'SK매직 정기 결제내역'을 청구 할인 대상으로 확인합니다. • 자동이체 등록 된 제휴카드로 구독료가 정기 결제일에 승인될 경우 카드사에서 고객님 전월 실적 충족 여부에 따라 청구할인 적용을 해드립니다.,,없음
제휴카드,지금 사용하는 카드가 SK매직 제휴카드인지 어떻게 확인할 수 있나요?,"▶SK매직 제휴카드인 경우, 카드 앞면에 'MAGIC' 또는 'SK매직'이라고 기재되어 있습니다. • 카드사를 통해 제휴카드 발급 후 카드 수령 및 사용등록 완료 시 해당 카드로 SK매직 구독료 자동이체 등록하셔야 합니다. • 제휴카드 할인은 카드사별 전월 실적 충족 기준에 따라 청구 할인 적용됩니다. ☞SK매직 제휴카드 혜택보기",,없음
제휴카드,체크카드로 요금 자동이체등록할 수 있나요?,"▶체크카드로 자동이체 등록 가능합니다. • 체크카드와 연결된 계좌에 잔고가 부족할 경우 승인이 거절되므로 반드시 계좌의 잔고를 확인해 주세요. • 분실 및 도난 등의 사유로 카드를 재발급 받으셨을 경우, 해당 카드로 구독료가 결제될 수있도록 자동이체 변경하셔야 합니다.",,없음
제휴카드,카드 분실 도난 등으로 구독료 결제를 못한 경우에는 어떻게 하나요?,"▶카드사로부터 카드를 재발급 받으신 후 SK매직에 자동이체 등록 부탁드립니다. • 카드를 새로 발급 받으셨을 경우, 새로운 카드번호가 SK매직에 자동으로 자동이체 등록되지 않습니다. • 카드 발급 후 구독료가 결제될 수 있도록 서비스센터 홈페이지 또는 SK매직 고객상담센터[☎1600-1661]를 통해 자동이체 등록해 주세요. • 제휴카드 경우 기한 내 구독료가 결제되지 않을시 청구 할인 적용이 안될 수 있습니다.",,없음
제휴카드,카드 발급이 되면 자동으로 SK매직 구독료 결제가 되나요?,"▶제휴카드 발급 후 해당 카드로 SK매직 구독료 자동이체 등록을 하셔야 할인적용 가능합니다. • SK매직 구독료가 해당 카드로 승인되어야, 카드사에서 고객님 전월 실적 충족여부에 따라 청구할인 적용을 해드립니다. ☞ 결제정보변경을 원하실 경우 [결제정보변경] 메뉴를 통해 계약자 명의 카드로 변경하실 수 있습니다.",,없음
제휴카드,SK매직 제휴카드를 발급해서 사용하기만해도 구독료 할인되나요?,▶제휴카드 카드 발급 및 수령 후 반드시 SK매직 구독료 가 해당 카드로 결제될 수있도록 자동이체 신청하셔야 합니다. • 구독료가 해당 카드로 결제되어야 카드사에서 고객님 전월 실적 충족여부에 따라 청구할인 적용을 해드립니다. • 해당 카드로 자동이체 등록을 하셨음에도 할인 적용이 되지 않았다면 해당 카드사로 문의 부탁드립니다.,,없음
제휴카드,멤버쉽 계약 건도 제휴카드 할인 적용 가능한가요?,"▶네, 가능합니다. • 카드사를 통해 제휴카드 발급 후 카드 수령 및 사용등록 완료 시 해당 카드로 구독료 자동이체 등록하셔야 할인적용 가능합니다.",,없음
제휴카드,"제휴카드로 구독료를 납부하고 있었는데, 신제품으로 교체 시에는 카드도 교체 발급해야 하나요?","▶아닙니다. 카드와 제품이 결합되는 것이 아니기 때문에 기존 사용하시던 제휴카드로 납부를 하시더라도 계속 할인 적용 가능합니다. • 분실 도난 등의 사유로 카드를 재발급 받으셨을 경우, 해당 카드로 구독료가 결제될 수 있도록 자동이체 변경 부탁드립니다.",,없음
제휴카드,제휴카드는 누구나 발급이 가능한가요?,▶아닙니다. 만20세 이상이면서 소득이 있는 자로 신용상에 문제가 없어야만 가능합니다. (일반 신용카드 발급 기준 동일) •제휴카드 발급 가능 여부 및 상세 문의는 고객님께서 직접 카드사로 문의 하셔야 합니다.,,없음
제휴카드,롯데카드사 제휴카드로 여러 대 구독료를 납부중인데 매월 할인 적용되는 금액이 다릅니다. 이유를 알 수 있나요,"▶동일한 롯데 제휴카드로 2건이상 구독료 자동이체 시 먼저 승인되는 결제 건에 한해 월 1회 할인 적용됩니다. • 여러 건의 구독료를 하나의 카드로 납부하고 계시다면 매월 결제 순서가 달라질 수 있어 할인 금액이 매월 동일하지 않을 수 있습니다. ▶통합결제 예시 • 구독료가 정수기 13,900원, 비데 12,900원 2건을 통합 결제할 경우 합계 금액인 26,800원으로 월 1회 승인됩니다. ☞여러 건의 구독료를 합계 금액으로 승인을 원하실 경우 [고객상담센터☎1600-1661] 또는 [상담예약] 으로 문의 부탁드립니다.",,없음
